trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
51,False,"{'a': 0.5, 'e': 0.5233659512516496}",20,3,-44.59175959453321,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.5062202572327784}",30,12,3.57384120552049,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.48887208186052755}",20,4,-60.3374032067937,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.47132836417373997}",20,0,23.250003434986006,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.4535961214255773}",30,2,-15.436142013710306,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.43568244627671204}",25,11,12.467098245715647,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.41759450395835795}",25,0,-32.552390046572796,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.3993395294062732}",30,8,-36.02023794003696,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.3809248243668818}",30,9,-15.636149354411678,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.3623577544766736}",20,8,8.856041151752041,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.34364574631604705}",25,11,1.8940172206615342,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.32479628443877623}",30,8,-6.840655362004036,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.3058169083782893}",25,1,-7.897975350368794,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.28671520963195546}",30,10,-43.00204629877969,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.26749882862458735}",25,11,31.532859114720473,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.2481754516523729}",30,5,-34.1962740351414,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",1
